TI3;"Phyto""""";"MicroZoopl""""";"Copyp""""";"Mysid""""";"UpoAfri""""";"FishLarv""""";"ZooplEater""""";"BenthMicroAl""""";"MeioFau""""";"Det""""";"Graz""""";"SuspFeed""""";"CalliaKra""""";"Sol""""";"Herb""""";"MacrophSub""""";"Grunter""""";"MacrophSal""""";"Epiph""""";"BenthFeed""""";"FreeWat""""";"AttWat""""";"SedBaci""""";"CarnMac""""";"Pisci""""";"SkipJack""""";"CatFish""""";"DuskyKob""""";"Bird""""";"Leer""""";;SUM;;
"AttWat""""";0,04;0,03;0,08;0,06;0,05;0,03;0,05;0;0;0;0;0,01;0;0;0;0;0,01;0;0;0,01;0,02;0,04;0;0;0,02;0,02;0,01;0,01;0,02;0,01;;0,57;thresold;0,050
"BenthFeed""""";0,06;0,04;0,1;0,1;0,09;0,14;0,09;0,06;0,11;0,1;0,16;0,09;0,06;0,05;0,08;0,06;0,09;0,06;0,22;0,08;0,02;0,06;0,1;0,1;0,1;0,12;0,11;0,1;0,06;0,14;;2,76;;
"BenthMicroAl""""";0;0;0;0;0,01;0;0,01;0,07;0,08;0,07;0,15;0,06;0,1;0,16;0,06;0,03;0,03;0,03;0,03;0,02;0;0;0,05;0,03;0,02;0,01;0,03;0,02;0,02;0,02;;1,13;;
"Bird""""";0,01;0;0,01;0,01;0,05;0,01;0,04;0,01;0,01;0,06;0,01;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0,02;0,01;0,02;0,02;0,02;0,02;0,02;0,04;0,01;;0,53;;
"CalliaKra""""";0;0;0;0,01;0,01;0;0,01;0,07;0,02;0,02;0,03;0,02;0,04;0,04;0,02;0,04;0,06;0,04;0,01;0,02;0;0,01;0,06;0,02;0,06;0,01;0,01;0,06;0,01;0,02;;0,73;;
"CarnMac""""";0,01;0;0,01;0,01;0,02;0,01;0,02;0,04;0,08;0,07;0,04;0,07;0,04;0,03;0,07;0,01;0,02;0,01;0,04;0,05;0;0,01;0,07;0,05;0,07;0,03;0,04;0,07;0,03;0,03;;1,03;;
"CatFish""""";0,01;0,01;0,01;0,02;0,06;0,01;0,05;0,03;0,07;0,07;0,02;0,06;0,02;0,02;0,06;0,02;0,02;0,02;0,03;0,04;0;0,02;0,03;0,03;0,02;0,03;0,04;0,03;0,04;0,03;;0,91;;
"Copyp""""";0,12;0,16;0,08;0,1;0,03;0,15;0,07;0;0,01;0,01;0,01;0,01;0;0;0,01;0;0,01;0;0,01;0,04;0,11;0,13;0;0,01;0,02;0,03;0,01;0,01;0,02;0,02;;1,18;;
"Det""""";0,01;0;0,01;0,01;0,03;0,01;0,02;0,08;0,04;0,05;0,04;0,04;0,03;0,05;0,06;0,04;0,07;0,04;0,03;0,04;0;0,01;0,07;0,07;0,02;0,02;0,08;0,03;0,11;0,03;;1,15;;
"DuskyKob""""";0,02;0,01;0,02;0,02;0,06;0,01;0,05;0,03;0,03;0,03;0,02;0,07;0,1;0,02;0,06;0,01;0,02;0,01;0,03;0,04;0;0,02;0,03;0,07;0,08;0,03;0,03;0,05;0,03;0,03;;1,04;;
"Epiph""""";0;0;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0;0;0,04;0;0;0;0,02;0,02;0;0;0,01;0,01;0,01;0,01;0,01;0,01;0;0,01;;0,24;;
"FishLarv""""";0,09;0,05;0,08;0,07;0,02;0,05;0,02;0;0;0;0,01;0;0;0;0;0;0;0;0,01;0,03;0,04;0,03;0;0,01;0,01;0,02;0,01;0,01;0,01;0,01;;0,60;;
"FreeWat""""";0,02;0,11;0,02;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,08;0,01;0;0;0;0;0;0;0;0;;0,26;;
"Graz""""";0;0;0;0;0;0,01;0;0,07;0,02;0,02;0,04;0,01;0,02;0,03;0,01;0;0,01;0;0,01;0,03;0;0;0,05;0,01;0,01;0,01;0,01;0,01;0,01;0,01;;0,41;;
"Grunter""""";0,01;0;0,01;0,01;0,06;0,01;0,02;0,04;0,09;0,08;0,03;0,02;0,11;0,17;0,03;0,45;0,12;0,45;0,02;0,05;0;0,01;0,04;0,03;0,02;0,02;0,03;0,02;0,02;0,13;;2,10;;
"Herb""""";0,01;0;0,01;0,02;0,03;0,01;0,03;0,1;0,1;0,09;0,05;0,09;0,05;0,05;0,07;0,02;0,04;0,02;0,21;0,05;0;0,01;0,09;0,1;0,08;0,09;0,1;0,09;0,04;0,12;;1,76;;
"Leer""""";0,01;0;0,01;0,01;0,01;0,01;0,04;0,01;0,02;0,02;0,01;0,01;0,01;0,02;0,04;0,04;0,06;0,04;0,03;0,03;0;0,01;0,01;0,01;0,01;0,02;0,02;0,01;0,01;0,03;;0,57;;
"MacrophSal""""";0;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0;0,04;0,05;0,04;0;0;0;0;0;0;0;0;0;0;0;0,01;;0,20;;
"MacrophSub""""";0;0;0;0;0;0;0;0;0,01;0;0;0;0,01;0,01;0;0,04;0,05;0,04;0;0;0;0;0;0;0;0;0;0;0;0,01;;0,20;;
"MeioFau""""";0;0;0,01;0,01;0,02;0,01;0,01;0,08;0,04;0,04;0,04;0,03;0,03;0,05;0,06;0,04;0,07;0,04;0,03;0,04;0;0,01;0,07;0,07;0,02;0,02;0,07;0,02;0,02;0,03;;0,98;;
"MicroZoopl""""";0,1;0,13;0,09;0,07;0,01;0,05;0,02;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0,45;0,03;0;0;0,01;0,01;0;0;0;0;;1,01;;
"Mysid""""";0,13;0,17;0,13;0,08;0,04;0,15;0,08;0,01;0,01;0,01;0,01;0,02;0,01;0;0,01;0;0,01;0;0,02;0,05;0,11;0,14;0,01;0,01;0,06;0,09;0,02;0,02;0,02;0,02;;1,46;;
"Phyto""""";0,07;0,15;0,11;0,09;0,06;0,14;0,06;0;0;0,01;0;0,01;0;0;0;0;0,01;0;0,01;0,02;0,1;0,06;0;0;0,02;0,03;0,01;0,01;0,02;0,01;;1,01;;
"Pisci""""";0,03;0,02;0,03;0,06;0,07;0,03;0,06;0,03;0,03;0,03;0,02;0,07;0,1;0,02;0,06;0,01;0,02;0,01;0,03;0,05;0,01;0,03;0,03;0,08;0,05;0,04;0,03;0,09;0,04;0,03;;1,19;;
"SedBaci""""";0;0;0,01;0,01;0,02;0,01;0,01;0,07;0,09;0,08;0,16;0,07;0,11;0,16;0,07;0,03;0,04;0,03;0,04;0,05;0;0;0,07;0,08;0,03;0,02;0,03;0,03;0,02;0,03;;1,38;;
